autor_id","name","surname"
"1","Eleanor Hallowell","Abbott"
"2","Andy										","Adams"
"3","George										","Ade"
"4","Hans Christian						","Andersen"
"5","Sherwood								","Anderson"
"6","Leonid								","Andreyev"
"7","Maya									","Angelou"
"8","Peter								","Asbjornsen"
"9","Isaac									","Asimov"
"10","Honore de								","Balzac"
"11","Ralph Henry							","Barbour"
"12","Robert									","Barr"
"13","James M.								","Barrie"
"14","R. D.								","Blackmore"
"15","Algernon								","Blackwood"
"16","Albert								","Blaisdell"
"17","William									","Blake"
"18","Givoanni								","Boccaccio"
"19","James									","Boswell"
"20","Ray									","Bradbury"
"21","Loretta									","Brady"
"22","Vera									","Brittain"
"23","Emily									","Bronte"
"24","Charlotte								","Bronte"
"25","Frederic									","Brown"
"26","Elizabeth								","Browning"
"27","Edgar Rice							","Burroughs"
"28","Ellis									","Butler"
"29","Lord										","Byron"
"30","Dorothy								","Canfield"
"31","Truman									","Capote"
"32","Lewis									","Carroll"
"33","Willa									","Cather"
"34","G.K.								","Chesterton"
"35","George									","Cohan"
"36","Samuel								","Coleridge"
"37","Sara									","Coleridge"
"38","Carlo									","Collodi"
"39","Cornelia									","Comer"
"40","										","Confucius"
"41","Richard								","Connell"
"42","Stephen									","Crane"
"43","J. Hector St. John de				","Crevecoeur"
"44","Thomas								","De Quincey"
"45","Aubrey									","De Vere"
"46","Philip									","Dick"
"47","Charles								","Dickens"
"48","Emily								","Dickinson"
"49","William								","Donahey"
"50","John										","Donne"
"51","John								","Dos Passos"
"52","Fyodor								","Dostoevsky"
"53","Frederick								","Douglass"
"54","Ernest									","Dowson"
"55","Sir Arthur Conan							","Doyle"
"56","Theodore								","Dreiser"
"57","W.E.B.									","Du Bois"
"58","Alexandre								","Dumas"
"59","Alexandre							","Dumas fils"
"60","Alice							","Dunbar-Nelson"
"61","Amelia B. Edwards						","Edwards"
"62","T. S.									","Eliot"
"63","George									","Eliot"
"64","Ralph Waldo							","Emerson"
"65","Daniel									","Emmett"
"66","Evelyn							","Everett-Green"
"67","William								","Faulkner"
"68","Edna									","Ferber"
"69","Parker								","Fillmore"
"70","Mary Hallock								","Foote"
"71","Ford										","Ford"
"72","Edward									","Forster"
"73","George										","Fox"
"74","Benjamin								","Franklin"
"75","John								","Galsworthy"
"76","George									","Gissing"
"77","Susan									","Glaspell"
"78","Nikolai Vasilievich						","Gogol"
"79","Mother									","Goose"
"80","Robert									","Graves"
"81","Zane										","Grey"
"82","Jacob and Wilhelm						","Grimm"
"83","Woody									","Guthrie"
"84","Edward Everett							","Hale"
"85","O.										","Henry"
"86","Robert									","Herrick"
"87","Hermann									","Hesse"
"88","Oliver									","Holmes"
"89","Mary Jane								","Holmes"
"90","											","Homer"
"91","Livingston								","Hopkins"
"92","A. E.									","Housman"
"93","Julia										","Howe"
"94","William Dean							","Howells"
"95","Louis									","Hughes"
"96","Langston								","Hughes"
"97","Victor									","Hugo"
"98","Evan									","Hunter"
"99","nora zeale								","hurston"
"100","Aldous									","Huxley"
"101","Henrik									","Ibsen"
"102","Washington								","Irving"
"103","Shirley								","Jackson"
"104","W. W.									","Jacobs"
"105","Joseph									","Jacobs"
"106","Grace									","James"
"107","Henry									","James"
"108","Montague Rhodes							","James"
"109","Francis								","Janvier"
"110","Thomas								","Jefferson"
"111","Jerome K.								","Jerome"
"112","Sarah Orne								","Jewett"
"113","James									","Joyce"
"114","Franz									","Kafka"
"115","John										","Keats"
"116","E.E.									","Kellogg"
"117","Jack									","Kerouac"
"118","Frances									","Key"
"119","Martin Luther								","King"
"120","Charles								","Kingsley"
"121","Rudyard								","Kipling"
"122","Joseph Martin							","Kronheim"
"123","Aleksandr								","Kuprin"
"124","William								","Lampton"
"125","Perceval								","Landon"
"126","Ring									","Lardner"
"127","W.B.									","Laughead"
"128","D. H.									","Lawrence"
"129","Henry									","Lawson"
"130","Emma									","Lazarus"
"131","Stephen								","Leacock"
"132","Edward									","Lear"
"133","Harper										","Lee"
"134","Joseph Sheridan						","Le Fanu"
"135","Giacomo								","Leopardi"
"136","Gaston									","Leroux"
"137","Sinclair									","Lewis"
"138","Clive Staples							","Lewis"
"139","John										","Locke"
"140","Hugh									","Lofting"
"141","Jack									","London"
"142","Julius									","Long"
"143","Henry Wadsworth						","Longfellow"
"144","H. P.								","Lovecraft"
"145","Titus								","Lucretius"
"146","Arthur									","Machen"
"147","Niccolo							","Machiavelli"
"148","James									","Madison"
"149","Katherine							","Mansfield"
"150","Gabriel Garcia							","Marquez"
"151","George									","Martin"
"152","William Somerset						","Maugham"
"153","Guy de								","Maupassant"
"154","John									","McCrae"
"155","Walter								","McRoberts"
"156","Herman								","Melville"
"157","H.L.									","Mencken"
"158","Prosper								","Merimee"
"159","George									","Miles"
"160","John Stuart								","Mill"
"161","A.A.										","Milne"
"162","John									","Milton"
"163","Jean-Baptiste							","Moliere"
"164","H.H.								","Munro (SAKI)"
"165","Vladimir								","Nabokov"
"166","Edith									","Nesbit"
"167","Friedrich							","Nietzsche"
"168","Florence							","Nightingale"
"169","Kathleen								","Norris"
"170","Solomon								","Northup"
"171","Caroline								","Norton"
"172","George									","Orwell"
"173","Publius									","Ovid"
"174","Wilfred									","Owen"
"175","Thomas Nelson								","Page"
"176","Thomas									","Paine"
"177","Dorothy									","Parker"
"178","Banjo									","Paterson"
"179","Elia W.								","Peattie"
"180","Samuel									","Pepys"
"181","Charles								","Perrault"
"182","Clara									","Pierson"
"183","											","Plato"
"184","Edgar Allan								","Poe"
"185","John									","Polidori"
"186","Marcel									","Prevost"
"187","Alexsander								","Pushkin"
"188","Edward Payson								","Roe"
"189","George									","Root"
"190","J.K.									","Rowling"
"191","Arnaba									","Saha"
"192","J.D.									","Salinger"
"193","Walter									","Scott"
"194","S.T.									","Semyonov"
"195","Anna									","Sewell"
"196","William							","Shakespeare"
"197","Bernard									","Shaw"
"198","Percy Bysshe							","Shelley"
"199","Mary									","Shelley"
"200","										","Sophocles"
"201","John										","Sousa"
"202","Harriet								","Spofford"
"203","Johanna									","Spyri"
"204","Gertrude									","Stein"
"205","John									","Steinbeck"
"206","Carl								","Stephenson"
"207","Robert Louis							","Stevenson"
"208","Ruth									","Stuart"
"209","Jesse									","Stuart"
"210","Edna						","St. Vincent Millay"
"211","Kate Dickinson						","Sweetser"
"212","Jonathan									","Swift"
"213","Netta									","Syrett"
"214","Rabindranath							","Tagore"
"215","Alexei									","Tolstoy"
"216","Leo									","Tolstoy"
"217","Horace									","Walpole"
"218","Booker T.							","Washington"
"219","Louise Bennett							","Weaver"
"220","Ida										","Wells"
"221","H.G.										","Wells"
"222","Anne Hollingsworth						","Wharton"
"223","Edith									","Wharton"
"224","Phillis								","Wheatley"
"225","Margery								","Williams"
"226","P. G.								","Wodehouse"
"227","Tobias									","Wolff"
"228","Mary							","Wollstonecraft"
"229","Virginia									","Woolf"
"230","William								","Wordsworth"
"231","William Butler							","Yeats"
"232","Anzia								","Yezierska"
"233","Charlotte M.								","Yonge"
"234","Emile										","Zola"
